COD_DISTRIBUIDORA,COD_PRODUCTO,DESC_PRODUCTO,COD_EAN,NOM_PROVEEDOR,FACTOR_UNI_MIN,FACTOR_UNI_MAX
1000029956,8412021,DET PAT FLORAL 60X140 GR,N/A,ALICORP SAA,60,1
1000012341,8412022,DET PAT BEBE 60X140 GR,N/A,ALICORP SAA,60,1
1000018847,8412025,PAT DETERGENTE LIMON 4 X 4 KG- DESCONT,N/A,ALICORP SAA,4,4
1000007598,8412026,PAT DETERGENTE LIMON 2X5.5 KG - DESCONT,N/A,ALICORP SAA,2,2
1000029670,8412028,PAT DETERGENTE FLORAL 4X4 KG - DESCONT,N/A,ALICORP SAA,4,4
1000018366,8412029,PAT DETERGENTE FLORAL 2X5.5 KG - DESCONT,N/A,ALICORP SAA,2,2
1000012077,8414009,DET PAT LIMON 6X1600 GR,N/A,ALICORP SAA,6,6
1000028129,8414013,DET PAT LIMON 4X4 KG,N/A,ALICORP SAA,4,4
1000009039,8414014,DET PAT FLORAL 4X4 KG,N/A,ALICORP SAA,4,4
1000007527,8414015,DET PAT LIMON 2X5.5 KG,N/A,ALICORP SAA,2,2
1000020099,8414016,DET PAT FLORAL 2X5.5 KG,N/A,ALICORP SAA,2,2
1000021615,8606034,JAB TROME FLORAL 40X190 GR,N/A,ALICORP SAA,40,40
1000008558,8606035,JAB TROME LIMON 40X190 GR,N/A,ALICORP SAA,40,40
1000018974,8817003,PLUSBELLE JABON LIQ HIDRAT. CREM. 12 X 400 ML-DESCONT,N/A,ALICORP SAA,12,12
