COD_PROD,DESC_PROD,EAN_13,CATEGORIA_PROD,FAMILIA_PROD,MARCA_PROD,SEGMENTO_PROD,UND_X_CAJA,PESO_X_UND,PRESENTACION_PROD,ESTADO_PROD
8406097,DETER. OPAL ADVANCE 2.6KG 7BOL,7750243051309,Detergentes,Opal Advance,Opal,Core,7,2.6,2.4kg,O
8406098,DETER. OPAL ADVANCE 4.5KG 4BOL,7750243051316,Detergentes,Opal Advance,Opal,Core,4,4.5,4kg,O
8406099,DETER. OPAL ULTRA 160GR 60BOL,7750243051644,Detergentes,Opal Ultra,Opal,Core,60,0.16,140g,O
8406100,DETER. OPAL ULTRA 360GR 30BOL,7750243051651,Detergentes,Opal Ultra,Opal,Core,30,0.36,330g,O
8406101,DETER. OPAL ULTRA 520GR 24BOL,7750243051668,Detergentes,Opal Ultra,Opal,Core,24,0.52,450g,O
8406102,DETER. OPAL ULTRA 850GR 15BOL,7750243051675,Detergentes,Opal Ultra,Opal,Core,15,0.85,750g,O
8406103,DETER. OPAL ULTRA 1.5KG 8BOL,7750243051682,Detergentes,Opal Ultra,Opal,Core,8,1.5,1.5kg,O
8406104,DETER. OPAL ULTRA 2.6KG 7BOL,7750243051699,Detergentes,Opal Ultra,Opal,Core,7,2.6,2.4kg,O
8406105,DETER. OPAL ULTRA 4.5KG 4BOL,7750243051705,Detergentes,Opal Ultra,Opal,Core,4,4.5,4.2kg,O
8406106,DETER. OPAL ULTRA 5.8KG 3BOL,7750243051712,Detergentes,Opal Ultra,Opal,Core,3,5.8,5.8kg,EA
8406107,DETER. OPAL ULTRA 6KG 3BOL,7750243051729,Detergentes,Opal Ultra,Opal,Core,3,6.0,6kg,O
8406108,DETER. OPAL ULTRA C/QMANCHAS 360GR 30BOL,7750243051736,Detergentes,Opal 2en1,Opal,Core,30,0.36,330g,O
8406109,DETER. OPAL ULTRA C/QMANCHAS 520GR 24BOL,7750243051743,Detergentes,Opal 2en1,Opal,Core,24,0.52,480g,O
8406110,DETER. OPAL ULTRA C/QMANCHAS 850GR 15BOL,7750243052528,Detergentes,Opal 2en1,Opal,Core,15,0.85,780g,O
8406111,DETER. OPAL ULTRA C/QMANCHAS 2.6KG 7BOL,7750243052535,Detergentes,Opal 2en1,Opal,Core,7,2.5,2.6kg,O
8406112,DETER. OPAL ULTRA C/QMANCHAS 4.5KG 4BOL,7750243052542,Detergentes,Opal 2en1,Opal,Core,4,4.5,4.5kg,O
8406113,DETER. OPAL LIQUIDO 2 EN 1 940ML 12FCO,7750243052559,Detergentes,Opal Sports,Opal,Core,12,0.996,940mL,O
8406114,DETER. OPAL LIQUIDO 2 EN 1 1900ML 6FCO,7750243052566,Detergentes,Opal Sports,Opal,Core,6,2.014,1.9L,O
